"id","propertyCode","itemName","itemAddress","itemPhone","category"
200,"06COV     ","South Jordan Senior Center","10778 S Redwood Rd, South Jordan, UT","801-302-1222","Government Offices"
321,"607SET    ","Albertsons","5651 S 1900 W, Roy, UT","(801) 773-0286","Restaurants/Dining"
322,"607SET    ","Harmons","5370 S. 1900 W Roy, UT"," (801) 825-9002","Restaurants/Dining"
323,"607SET    ","Rocky Mountain Power","7200 S Holden (730 West)","888-221-7070","Utilities"
324,"607SET    ","Questar Gas","9150 S 500 W ","801-324-5111","Utilities"
325,"607SET    ","Valley View Elementary","2465 W 4500 S Roy","(801) 476-5200","Schools"
326,"607SET    ","Sand Ridge Jr High","2075 W. 4600 S.","(801) 476-5320","Schools"
361,"106CTR    ","Aurora Public Library","14949 E. Alameda Pkwy","303-739-6600","Bookstore/Library"
371,"106CTR    ","Bicentennial Mini Golf Course","13600 E Bayaud Ave","303-343-7888","Recreation"
212,"113RFA    ","Amazing Jakes","1400 South Abilene","303-337-5253","Entertainment"
215,"113RFA    ","Red Lobster","10854 East Alameda Ave","303-343-6161","Restaurants/Dining"
214,"113RFA    ","BJs Restaurant","14442 East Cedar Ave","303-366-3550","Restaurants/Dining"
253,"80RSA     ","Promenade Bolingbrook","631 E. Boughton Road Bolingbrook,IL 60440","630.296.8340","Recreation"
254,"80RSA     ","Adventist Bolingbrook Hospital","500 Remington Blvd. Bolingbrook IL 60440","630.312.5000","Health Care"
257,"80RSA     ","Pelican Harbor Park District","201 Recreation Drive, Bolingbrook,IL 60440","630.739.0272","Recreation"
226,"81WLA     ","Middle School-Teft","1100 Shirley Avenue ","630-213-5535","Schools"
227,"81WLA     ","High School-Bartlett High","701 Shick Road ","630-372-4700","Schools"
228,"81WLA     ","Hanover Park Village Hall","","630-372-4200","Government Offices"
229,"81WLA     ","Schaumburg Township Branch Library","","630-372-7800","Bookstore/Library"
232,"81WLA     ","Metra Transportation ","","312-332-6777","Transportation"
231,"81WLA     ","Popular Creek Branch Library","","630-372-0052","Bookstore/Library"
234,"601SOV    ","Somerset Village","3810 So. Redwood Rd. West Valley","801-973-4250","Emergency"
237,"29CLA     ","Rocky Mountain Power","","888-221-7070","Utilities"
238,"29CLA     ","Questar Gas","","801-324-5111","Utilities"
239,"29CLA     ","State Farm Insurance - Tony Campo","","801-942-5338","Utilities"
240,"29CLA     ","Fire and Police","","911","Emergency"
241,"29CLA     ","Midvale Police Department (Non-Emergency)","7912 S Main St., Midvale, UT","801-840-4000","Emergency"
242,"29CLA     ","Midvale Senior Citizens Center","350 W Park St., Midvale, UT","801-566-6590","Recreation"
243,"29CLA     ","Midvale City Museum","","801-569-8040","Museums/Zoos"
319,"607SET    ","Super Walmart","4848 SO. 900 West ST Riverdale, Utah","(801) 627-0066","Restaurants/Dining"
370,"106CTR    ","Parks and Open Space Dept.","15151 E. Alameda Pkwy. Suite 4600","303.739.7160 ","Parks"
382,"106CTR    ","Aurora Public Schools","1085 Peoria St.","303-344-8060","Schools"
383,"106CTR    ","The Aurora Fox Theatre","9900 East Colfax","303-739-1970","Entertainment"
267,"159BEA    ","Nevada Power","","702-367-5555","Utilities"
268,"159BEA    ","Embarq (Telephone)","","702-244-7400","Utilities"
269,"159BEA    ","Cox Communications","","702-944-4244","Utilities"
270,"159BEA    ","CYNTHIA CUNNINGHAM ELEMENTARY","4145 JIMMY DURANTE  LV, NV 89106 ","702-799-8780","Schools"
387,"61MBA     ","Maintenance Emergency ","","818-270-0054","Emergency"
388,"61MBA     ","Alpha One Patrol ","","877-825-7421","Emergency"
285,"204FGA    ","Cox Cable","","602-694-1647","Utilities"
327,"607SET    ","Saloman Center","Kiesel Ave, Ogden","(801) 399-4653","Entertainment"
328,"607SET    ","New Gate Mall","3651 Wall Ave","(801) 621-1161","Entertainment"
