"ID","propertyCode","propertyName","propertyAddress","propertyCity","propertyState","propertyZip","propertyPhone","propertyFax","propertyEmail","propertyImage","propertyURL","propertyStatus","propertyPriceRange","propertyUnitType","propertySpecial","propertyMercial","propertyDescription","propertyHours","propertyPetPolicy","propertyDirections","propertyTheme","validation"
40,"50CAN","Canyon Cove","1455 Valley Drive ","Ogden","UT","84401","(801)621-1521","(801)621-1553","canyoncove@amcllc.net","canyoncove.jpg","http://www.canyoncoveapts.com","Inactive","$450-$530","1-2 Bedrooms","","","Imagine living in a resort lifestyle with spectacular mountain views! Swim in our lavish pool, play tennis or basketball. How about a round of golf right out your front door! The good life is waiting for you at Canyon Cove. At Canyon Cove, you’ll live in a natural, wooded country setting. A quiet, private world in a secluded cove, yet close to everything important to your busy lifestyle. It’s a vacation that never has to end, and its all waiting for you at Canyon Cove.","Mon-Fri  8:00 to 5:00<br>
Saturday  11:00 to 3:00 
","Weight Restriction - 50 lbs.","From I-15, exit #347 onto 12th St. Turn east onto 12th St., continue to Harrison Blvd. At Harrison, turn right heading south to 20th St. At 20th St. turn left and then make another immediate left. Follow road past golf course; we are on your right. ","Tan_Theme.css",""
41,"44SCA","St. Charleston/Torrey Pines","6501 W. Charleston","Las Vegas","NV","89146","(702)878-6039","(702)870-0382 ","stcharleston@amcllc.net","stcharleston.jpg","http://www.stcharlestonandtorreypinesvillageapts.com/","Inactive","$613-$997","1-3 Bedrooms","","","Welcome to St. Charleston/Torrey Pines Village! We are very spacious one, two and three bedroom apartment homes which are filled with features that you will appreciate in a community you will be proud to call home. Call our on-site management team today!","Monday - Friday<br>
10:00 AM - 7:00 PM<br>
Saturday<br>
9:00 AM - 5:00 PM<br>
Sunday Noon - 6:00 PM
","Pet Policy: Small pets up to 25 lbs. full grown. $150 Non-Refundable Pet Fee per pet. $50 Security Deposit per pet. $20 Pet Rent, per month, per pet.","Take US95 to Rainbow South to Charleston and turn Left. We&#8217;re on the Right.","Tan_Theme.css",""
42,"29CLA","Candlestick Lane","80 East 7800 South","Salt Lake City","UT","84047","(801)561-0204","(801)568-7007","candlesticklane@amcllc.net","candlesticklane.jpg","http://www.candlestickapts.com","Active","$575-805","Studio, 1 & 2 Bedrooms","REDUCED RATES!  $100 OFF MONTHLY!","","<h5>A GREAT PLACE TO CALL HOME. Unique style, well thought-out and open floorplans and a dedicated professional staff enhance your living experience at Candlestick Lane. Shopping and schools are close by and we have plenty of relaxing amenities for your enjoyment. When you&rsquo;re looking for a great value and a quality apartment... come home to Candlestick Lane!</h5>","Monday-Friday 8:00am to 6:00pm (Model shown until close!)<br />Saturday 10:00am to 4:00pm","Pets Gladly Accepted!","<p>From State Street, Turn East on 7800 South.&nbsp; Follow past townhomes to our entrance on the right side of the road.</p>","Tan_Theme.css",""
43,"35BPA","Brookwood Park","3854 Rockwood Way ","West Valley City","UT","84120","(801)966-1486","(801)966-5459","brookwoodpark@amcllc.net","brookwoodpark.jpg","http://www.brookwoodparkapts.com","Active","$650-$675","2 Bedroom 1 Bath","$200 off First month rent !!","","Choose Brookwood Park as your new home and enjoy the convenient location and superior service!&nbsp; Washer and Dryer Hook Ups, Air Conditioning, Gas Stoves, Covered Parking, Playgrounds, Large Grass Areas and a Swimming Pool.&nbsp; Ask us how low your monthly gas bill will be!","Mon-Fri 9:00 to 6:00<br />Saturday 10:00 to 4:00 ","<p>We welcome your pets up to 35 pounds with just a $150 pet deposit and just $35 per month.&nbsp; </p>","From I-215, take the 3500 S. exit. Go west to 4000 W. Turn right. Turn right on Rockwood Way (3390 South). Our entrance is&nbsp;on the lefthand side.","Sage_Theme.css",""
44,"36VFA","Villa Franche","3440 South 500 East	","Salt Lake City","UT","84106","(801)467-2023","(801)467-0477","villafranche@amcllc.net","villafranche.jpg","http://www.villafrancheapts.com","Active","699-800","2 Bedrooms","$199 Deposit (oac)","","Welcome to a warm, neighborly community that provides a great residence and peace of mind! Nestled in a park-like setting, our community is close to everything, yet feels like it&rsquo;s off the beaten path. Experience peace and quiet and a friendly neighborhood atmosphere. Fill out our application at www.amcapartments.com! Receive your move-in confirmation within six to twelve business hours!","Mon - Fri 9:00 to 6:00<br />Sat 10 - 4","<p>Pet Friendly $300.00 Deposit 1/2 Refundable</p><p>$25.00 Per Month Pet Rent</p>","From I-15, exit at 3300 South. Head east to 500 East; turn right. Follow to our community, just ahead on your right.","Tan_Theme.css",""
45,"45PPA","Palms at Peccole Ranch","9599 West Charleston Blvd","Las Vegas","NV","89117","(702)233-0677","(702)233-0676","palmsatpeccole@amcllc.net","palmsatpeccole.jpg","http://www.palmsatpeccoleranch.com","Active","$700-$1240","1-3 Bedrooms","LOWEST RENTS $700-1240","","We offer a perfect passage from the rigors of everyday life to a serene lifestyle you&rsquo;ll be happy to call home. Meandering walkways deliver you into an environment of mature landscaping featuring lush greenbelts and private tranquil courtyards.","Mon-Fri 8:00 to&nbsp;5:30 <br />Sat 9:00 to 5:00 <br />Sun - 10:00 to 4:00","25 lb limit $350 pet fee/$30 per month rent ","West Charleston Blvd. just past Ft Apache or West Summerlin Parkway. Left on Charleston.","Tan_Theme.css",""
46,"40EC1","Eagle Crest","5850 Sky Pointe Drive","Las Vegas","NV","89130","(702)655-5900","(702)655-1089","eaglecrest@amcllc.net","eaglecrest.jpg","http://www.eaglecrestvegas.com","Active","$695","Large 1, 2 & 3 Bedrooms","$299 MOVE IN SPECIAL!!! ","","Located in&nbsp;<span class=""description"">NW Las Vegas, Nevada,&nbsp;Eagle Crest is&nbsp;more than a place to live, it is a place to call home.&nbsp; We have&nbsp;a&nbsp;dedicated professional staff, to give you piece of mind with our 24 hour on&nbsp;call maintenance team.&nbsp;&nbsp;Large spacious floor plans,&nbsp;washer and&nbsp;dryers,&nbsp;sparkling swimming pools,&nbsp;sauna, basketball and tennis&nbsp;courts, plus a&nbsp;state of the art 24 hour fitness center, Eagle Crest has something to suit&nbsp;everyones needs.&nbsp;</span>","Mon. - Fri. 9-6<br />Sat. - Sun. 9-6<br />24 Hour Message Service<br />After Hours Drop Box<br />Fax Service Information","1 pet maximum, 25 lb. limit, $300/$150 refundable.","Take US-95 North to Ann Rd. exit right, turn left on Tenaya and continue straight onto Sky Pointe Dr. Community is located on the right.","Tan_Theme.css",""
47,"28CON","Conquistador","3349 S 1300 E","Salt Lake City","UT","84106","(801)466-7600","(801)466-6155","conquistador@amcllc.net","conquistador.jpg","http://www.amcapartments.com","Inactive","$475-$625","1-2 Bedrooms","$250 Moves you in!","","THE LIFESTYLE YOU ARE LOOKING FOR, THE PRICE YOU&#8217;LL LOVE. At Conquistador Apartments, you will discover a peaceful neighborhood community designed with all the comforts and conveniences you expect. Enjoy a location that is convenient to shopping, freeways and employers.","Tue-Fri  9:00 to 6:00<br>
Saturday  10:00 to 4:00 
   ","No Pets. ","From I-15, exit at 3300 South. Head east to 1300 East; turn right. Follow to our community, just ahead on your left. ","Tan_Theme.css",""
49,"11GGR","Green Grove","170 S Pleasant Grove Blvd","Pleasant Grove","UT","84062","(801)769-7000","(801)769-7003","greengrove@amcllc.net","greengrove.jpg","http://www.greengroveapartments.com","active","$765-$891","2-3 Bedrooms","","","Welcome home to Green Grove Apartment Homes, Pleasant Grove&rsquo;s&nbsp;newest apartment community. If you are looking for affordable housing (income restrictions apply) that&rsquo;s comfortable and conviently located look no further. Green Grove embodies all the comforts of luxury living yet located in a quiet country setting. Every quality feature and amenity was designed with your upmost comfort in mind. Come experience a superior lifestyle at Green Grove Apartments today! ","Mon-Fri 9:00 to 6:00 <br />Sat 10:00 - 3:00 <br />Sun - Closed","NO PETS ALLOWED","I-15 take exit #275 (Pleasant Grove/Lindon Exit) and head East. Contiue East toward Pleasant Grove and we are located directly&nbsp;west of Maceys. ","Sage_Theme.css",""
50,"70MTN","Mountain Shadows","3825 South 700 West","Salt Lake City","UT","84119","(801)263-0777","(801)264-8272","mountainshadows@amcllc.net","mountainshadows.jpg","http://www.mountainshadowsapts.com","Active","599-899","1-3 Bedrooms","200 off April 99 deposit!!!","","Get the service you deserve at Mountain Shadows! We have spacious 1, 2 and 3 bedroom floor plans to choose from. Bring your pet with you because Mountain Shadows is a pet friendly community! At Mountain Shadows, you&rsquo;ll enjoy an array of amenities, both inside and out. And best of all, you&rsquo;ll have the peace of mind that comes from living at a AMC community.","Monday-Friday: 9:00 to 6:00<br />Saturday: 10:00 to 4:00<br />Sunday: Closed ","Breed Restriction.","From I-15 exit at 3300 South. Head west to 700 West, turn left. Our entrance is ahead about 2 blocks on your left. ","Tan_Theme.css",""
51,"61MBA","Mountainback","11777 Foothill Blvd","Lake View Terrace","CA","91342","(818)896-4824","(818)899-7344","mountainback@amcllc.net","mountainback.jpg","http://www.mountainbackapts.com","Active","$1029-$1,650","1-2 Bedrooms","$99 Deposit OAC!!","","<p>Experience the worry-free luxury of a full service apartment community designed for your convenience in the peaceful foothills of the San Fernando Valley. 3 Championship 18-hole golf courses are nearby. Mountainback is more than just a place to live . . . it&rsquo;s HOME!</p><p>&nbsp;</p><p>&nbsp;</p>","9 am - 6 pm Mon - Sat<br />10 am - 5 pm Sunday","Pet Friendly - call for details!","Easy access from the 5, 405,&nbsp;118 and&nbsp;210 Freeways.","Blue_Theme.css",""
53,"56LOG","Logan Landing","1767 N 500 W","Logan ","UT","84341","(435)753-0254","(435)753-7037","loganlanding@amcllc.net","loganlanding.gif","http://www.loganlandingapts.com","Active","$750.00 - $850.00","2-3 Bedrooms","","","Sparkling pool and hot tub, 24 hour fitness room with TV, clubhouse available for community and resident functions, on site management and 24 hour emergency maintenance personnel, beautifully landscaped grounds, assigned covered parking and open secondary and guest parking. We offer a non-smoking environment not only in our town homes but also on the surrounding grounds. We are conveniently located to major shopping and restaurants and the local hospital and many medical centers.","<p>Mon: 9:00 am - 5:00 pm<br />Tues.&nbsp; - Friday: 10:00am - 6:00pm<br />Saturday by appointment</p><p>closed Sundya</p><p>&nbsp;</p>","At this time we are not accepting pets. We do make accommodations for persons with disabilities","Main street north to 1800 north turn left at 500 West turn left into the property our clubhouse/office is located on your right.","Tan_Theme.css",""
54,"74LSA","City Park","780 N 900 W","Salt Lake City","UT","84116","(801)531-2525","(801)531-2520","citypark@amcllc.net","lexingtonsquare.jpg","http://www.lexingtonsquareapts.com","Active","575.00 to 710.00","1-2 Bedrooms"," 99 deposit on 1bed. 49.00 2 bed.","","FOR QUIET, COMFORTABLE LIVING AT TRULY AFFORDABLE PRICES, MAKE CITY PARK YOUR NEW HOME. We offer spacious unique floorplans in a preferred Salt Lake City location, just minutes to SLC Airport and downtown SLC. Enjoy easy access to I-15 and Hwy 215. Stop by today and let our friendly staff help you choose your new home.","Mon-Fri 9:00 to 6:00 <br />Saturday 10:00 to 4:00 ","Dogs & cats under 30lbs<br>
Deposit 250.00<br>
$25 pet rent","From I-15 exit 600 North and turn west. Proceed to 900 West and turn north. Look for us on the right. ","Tan_Theme.css",""
52,"60HTA","Hillside Terrace","3262 College Place","Lemon Grove","CA","91945","(619)698-2000","(619)698-5662","hillside@amcllc.net","hillsideterrace.jpg","http://www.hillsideterraceapts.com","Active","$1025-$1400","1-2 Bedrooms","Discounted Deposits OAC   Up to $300 off 1st months retn!","","Welcome home to gracious living at Hillside Terrace. We offer four thoughtfully designed floor plans, all beautifully appointed. You&rsquo;ll find our floor plans among the most spacious offered today, ranging from a one-bedroom with 616 square feet to a two-bedroom, two-bath plan with 934 square feet. Relax in a lushly landscaped community built around a pool and spa. Enjoy spacious laundry facilities in the comomon areas too. Hillside Terrace is just steps from neighborhood shopping at regional shopping centers. It&rsquo;s an easy commute to all employment centers and major militiary bases and convenient to public transportation. Hillside Terrace is more than a place to live. It&rsquo;s Home. ","Monday-Friday: 9:00am-6:00pm<br />Saturday: 9:00am-5:00pm<br />Sunday: 10:am - 5:00pm ","<p>Indoor Cats and Dogs under 20lb pounds* &nbsp;Mgmt approval</p><p>$15 cat pet rent&nbsp;&nbsp; $25 dog pet rent</p><p>Pet Deposit Required</p><p>&nbsp;</p><p>&nbsp;</p><p>Pet Deposit required</p>","<p>94 East Freeway to the College/Broadway Exit. Right at the exit and make the 1st left at the stop light. Follow signs up the hill to the Rental Office.</p><p>&nbsp;</p>","Tan_Theme.css",""
117,"87ALL","Allegro At Foothills Gateway","4411 E Chandler Blvd","Phoenix","AZ","85048","(480) 705-4161","(480) 705-4148","allegro@amcllc.net","allegro.jpg","http://www.allegroatfoothillsgateway.com","Active","$635-$1050","1, 2 and 3 bedrooms","$499 TOTAL MOVE IN!!! ASK ABOUT OUR PREFERRED EMPLOYER AND STUDENT DISCOUNTS!! (OAC)","","Enjoy the masterpiece that is Allegro. Surround yourself with myriad cultural and natural attractions and bask in three hundred days of sunshine every year. Spectacular mountain views and breathtaking sunsets are only two of the advantages of life at Allegro. Another is our location amidst the master planned community of Ahwatukee - a highly regarded area of Phoenix which combines with twenty-two other cities to create the Valley of the Sun.","M-F: 9:00 AM - 6:00 PM Sat: 10:00 AM - 5:00 PM Sun: 12:00 AM - 5:00 PM ","Pets Allowed: Cats Small Dogs Pet Restrictions: $250&nbsp;pet deposit refundable, $255 nonrefundable pet fee.&nbsp;$25 per month pet rent. Limit of two cats or two dogs per apartment.","From I-10: Exit Chandler Boulevard. West on Chandler Boulevard to 44th Street. Allegro is located on the South side of Chandler Boulevard, East of 44th Street.","Sage_Theme.css",""
122,"200DSW","Desert Wind","4140 W McDowell Road","Phoenix","AZ","85009","(602)272-5994","(602)272-5958","desertwind@amcllc.net","desertwind.jpg","http://www.desertwindamc.com ","Active","$570-$735","1-2 Bedrooms","","","Desert Wind is conveniently located close to shopping, restaurants and entertainment. We are within a short distance of schools, on the bus line and only one block from I-10. We have a wide variety of living spaces to choose from, all with new appliances, upgraded ceramic tile and modern kitchen cabinetry. Call today to make Desert Wind your new home. ","M-F: 9:00 AM - 6:00 PM <br>
Sat: 10:00 AM - 5:00 PM <br>
Sun: 12:00 PM - 5:00 PM ","Contact Leasing Office","From I-10 west: Take the 43rd Avenue exit. Turn right on McDowell Road and Desert Wind is on the left.","Sage_Theme.css",""
131,"54APW","Aspenwood","4139 South 4080 West","West Valley City","UT","84120","(801) 968-1161","(801) 968-4654","aspenwood@amcllc.net","aspenwood.jpg","http://www.aspenwoodapts.com","Active","$635-$860","1-2- and 3 Bedrooms","December 2008 FREE RENT","","<p>FABULOUS 1,2, AND 3 BEDRROM, 1 Bath units available. We have newly upgraded units.&nbsp; All of our bedrooms are large enough to fit a king size bedroom set with plenty of extra room.</p><p>&iexcl;Usted adorar&aacute; el nuevo aspecto de Apartamentos de Aspenwood y equipo directivo! Aspenwood es cercano a todo y distante de ordinario; cierre a escuelas, las iglesias, los recorridos del autob&uacute;s, yo-215, Carretera de Bangerter y una abundancia de las compras. Aspenwood ofrece vivir econ&oacute;mico de lujo dentro de una colocaci&oacute;n callada de la comunidad. &iexcl;Permita que nosotros mostremosle alrededor; usted estar&aacute; contento que usted hizo! </p>","<p>Monday - Friday 9:00 to 6:00</p><p>Saturday 10:00 - 4:00</p><p>El lunes - el viernes 9:00 a 6:00</p><p>&nbsp;</p>","<p>Pets welcome&nbsp;up to 60 lbs. $300.oo Pet Deposit, $35.OO&nbsp;Per month Pet Rent.</p><p>&nbsp;Damos la bienvenida hasta 2 animales favoritos por apartamento, hasta 30 lbs. Acaricie el Dep&oacute;sito: $300 ($150 reembolsable) &amp; $35 alquiler mensual de animal favorito por animal favorito. *Criando la restricci&oacute;n aplica</p>","<p>Take I-215 to 3500 S, go West to 4000 West turn left, go past 4100 S we are on the right.</p><p>Tome yo-215 a 3500 S. Dir&iacute;jase al Oeste a 4000 al oeste. Gire a la izquierda. Los Apartamentos de Aspenwood estar&aacute;n a la derecha. </p>","Tan_Theme.css",""
135,"82CVG","Casper Village","2300 E 18th St #821","Casper","WY","82609","(307)266-6548","(307)473-7737","caspervillage@amcllc.net","caspervillage.jpg","http://www.caspervillageapts.com        ","Active","From $600-$965","1-2 Bedrooms","","","Casper Village Apartments offer the best in apartment living: bright, spacious floorplans, well-lit hallways, storage closets, individual air conditioning, off-street parking and the choice of furnished or unfurnished efficiency, one or two bedroom designs. We feature laundry rooms in each building, playground, pool, tennis and basketball courts and two barbecue areas. Come and discover the carefree, quality lifestyle at Casper Village Apartment where our caring and professional staff treats our residents like family! ","M-F: 10:00-6:00<br />Sat: 9:00-4:00<br />Sun: Closed ","Pet Questions?<br />Call Toll Free: (866) 920-1592 ","See Map.","Tan_Theme.css",""
193,"137ASG","Aspen Green","919 South Peoria Street","Aurora ","CO","80012","(303)341-4340","(303)341-1209","aspengreen@amcllc.net","aspengreen.jpg","http://www.aspengreenapts.com","Active","$520.00 -$730.00","Studio-2 Bedroom","Spring In For Great Specail $99.00 Move&rsquo;s You In! W.A.C.","","COME SEE WHY WE&rsquo;RE SO POPULAR!&nbsp; Indoor and outdoor pools, tennis, great location! Urban charm and relaxed suburban living in a lovely parklike setting. Huge heated indoor pool with , Fitness Center, and sparkling outdoor pool and Tennis court. Lots of off-street parking. Our SPACIOUS, WELL-DESIGNED APARTMENT HOMES have All-Electric Kitchens with Refrigerators, Dishwashers, Disposals, and Self-Cleaning Ovens. All homes have deep plush carpets, ceiling fans*, decorator blinds, lots of closet space, and many have Balconeys*! Cherry Creek Scools District&nbsp;!Wide grassy lawns and groves of leafy aspens and cherry trees. ","Monday - Friday&nbsp;8-5 Saturday 10-4","<p>Cats OK*</p><p>Dogs 13pounds and under *</p>","","Blue_Theme.css",""
62,"34SUN","Sunnyvale","764 W 3940 S","Murray","UT","84123","(801)269-0502","(801)269-0541","sunnyvale@amcllc.net","sunnyvale.jpg","http://www.sunnyvaleamc.com","Active","$699.00 +","2-3 Bedrooms","$99.00 Deposit","","<p>When location matters and comfort is a necessity, you will find all you need at Sunnyvale! Our roommate friendly&nbsp;floorplans are all equipped with washer/dryer hookups, entertainment kitchens, and fireplaces.&nbsp;&nbsp;Enjoy the Playground Fortress, the Pool in landscaped courtyard,&nbsp;the Invigorating Fitness Center and covered parking. Pets are Adored!&nbsp; Walking Distance to Trax!&nbsp; </p><p>&nbsp;</p>","<p>Mon&nbsp;- Fri 9:00am - 5:00pm</p><p>Saturday 10:00am-4:00pm</p><p>Closed Sunday</p>","We welcome up to 2 pets (aggressive dog breeds restricted)per apartment with just a $300 pet deposit per pet and&nbsp;$25 per month pet rent per pet.","764 West 3940 South. Southwest corner of intersection of 700 W and 3900 S. ","Sage_Theme.css",""
63,"75GPA","Apartments on the Green","1153 N Redwood Road","Salt Lake City","UT","84116","(801)596-1717","(801)532-2849","leasing@apartmentsonthegreen.com","greenpointe.jpg","http://www.apartmentsonthegreen.com","Active","$600-910","1-3 Bedrooms","$150 Deposit!!!","","Set on 14.5 spacious acres, Apartments on the Green offers you a beautiful home environment surrounded by lush landscaping. You&rsquo;ll love our convenient location, just minutes to downtown Salt Lake City and the airport. Our new and established residences offer an exciting array of amenities including fitness center, swimming pool and much more! Call for details.","Mon-Fri 9:00 to 6:00 <br />Saturday 10:00 to 4:00","Call for Policy","Take I-215 to the 700 North exit. Proceed east and turn left on Redwood Road. We are located on the west side of Redwood Road","Tan_Theme.css",""
59,"47POR","Portola Del Sol","1915 Simmons Street","Las Vegas","NV","89106","(702)315-5800","(702)315-5805","portoladelsol@amcllc.net","portoladelsol.jpg","http://www.portoladelsol.com","Active","$550-$850","1, 2 or 3 Bedroom","$299 move in for immediate move-ins we are offering lower rents","","Welcome to Portola Del Sol, a beautiful place to live. Our property features lush landscaping in a quiet, peaceful environment. You will enjoy the spacious apartments and wonderful neighbors. This community is professionally managed with excellent management and maintenance staff. Call our leasing office today for more information on your new home at Portola Del Sol. ","Mon-Fri 9:00 to 6:00 <br />Sat-Sun 9:00 to 5:00 ","<p>25 lbs and under -$300 pet deposit and $25 pet rent per pet -can have 2.</p>","From US-95, exit Rancho north. Take a right on&nbsp;Vegas Dr,&nbsp;left on Simmons. We&rsquo;re on the left.","Blue_Theme.css",""
60,"80RSA","RiverStone","302A Woodcreek Drive","Bolingbrook","IL","60440","(630)759-7900","(630)759-9313","riverstone@amcllc.net","riverstone.jpg","http://www.riverstoneapt.com","active","$499-$820","Studio, 1, 2 Bedroom","Aloha, print this ad for 1 free app. to paradise","","Envy has a new home...RiverStone. At RiverStone, you are seconds from work and next to Naperville. Enjoy the desirable location for an affordable and contemporary lifestyle. You will have easy access to I-55 and I-355, next to shopping, minutes from major employers and 25 minutes from downtown. We are committed to providing customer service that exceeds your expectations in apartment living. Come look and live at RiverStone Apartments today, and start enjoying the quality, affordable apartment living you deserve. ","Mon-Fri 10:00 to 6:00 <br />Saturday 10:00 to 5:00 <br />Sunday 12:00 to 5:00 ","Breed Restrictions apply","I-355 South to I-55 south to Rt. 53 North to Lily Cache Rd. West 2 blocks to community","Blue_Theme.css",""
64,"49VMV","Villas At Mountain Vista","5400 Mountain Vista Dr","Las Vegas","NV","89120","(702)456-2900","(702)456-5981","villasatmountainvista@amcllc.net","villasatmountainvista.jpg","http://www.villasatmountainvista.com","Active","$550-$976","","Lowest prices around town!","","Simply the best in elegant apartment living, The&nbsp;Villas at Mountain Vista&nbsp;is conveniently located on Mountain Vista just minutes from US-93/95. The&nbsp;Villas at Mountain Vista&nbsp;offers six spacious 1, 2 &amp; 3 bedroom homes to choose from at a price you can afford! Contact us today for your personal tour.","Monday-Friday 9:00 am to 6:00 pm<br />Saturday &amp; Sunday 9:00 am to 5:00 pm","Under 25 pounds full grown with breed restrictions.","Take US-95 South, exit left on Tropicana, turn right on Mountain Vista, pass Hacienda, we&rsquo;re on the left.","Tan_Theme.css",""
70,"101HRA","Hickory Ridge","2134 S Richfield Way","Aurora","CO","80013","(303)368-4006","(303)368-4572","hickoryridge@amcllc.net","hickoryridge.jpg","http://www.hickoryridgeapts.com","Active","$499-$999","1-3 Bedrooms","Ask About Our Move In Specials!!!","","WE SUIT YOUR LIFESTYLE! Hickory Ridge offers a wide variety of floorplans to choose from, so you can live in the apartment that suits you the best. Each Hickory Ridge apartment home is uniquely attractive and includes special touches such as a dry bar, vaulted ceilings and washer and dryer connections. Remodeled apartments available including hardwood flooring, new appliances and fixtures. You can watch the sun set from your balcony, relax in front of a roaring fireplace or enjoy an evening swim. It&rsquo;s all part of the comfortable lifestyle waiting for you at Hickory Ridge. Come home to Hickory Ridge, where you&rsquo;ll find the lifestyle you deserve. ","Monday-Friday 9:00am to&nbsp;6:00pm<br />Saturday 10:00am to 5:00pm<br />Sunday 12:00am to 5:00pm","Pets Allowed, Please Call for Policy ","I-225 to lliff Drive east on lliff to Buckley Road. Take Buckley north to Evans and turn right. Turn right on South Richfield Way and the leasing center will be on the left. ","Sage_Theme.css",""
67,"95CCE","Country Club Estates","5205 E Cortland Blvd","Flagstaff","AZ","86004","(928)526-5697","(928)527-0996","countryclubestates@amcllc.net","countryclubestates.jpg","http://www.countryclubestatesapts.com","Active","$695-799","1-2 Bedrooms","2 bedroom Specials $799 $300 off move in cost","","Welcome home to wide open spaces and a quiet country atmosphere amid tall trees, and fresh mountain air at Country Club Estates. Experience a relaxed, contemporary lifestyle in a prestigious residential neighborhood within walking distance of Continental Fairfield Golf Course and Flagstaff Athletic Club. Continental Plaza and Flagstaff Mall are close by and downtown Flagstaff is just a ten minute drive. So live the lifestyle you deserve and enjoy the finest in carefree apartment living - at Country Club Estates. ","M-F: 9:00 to 5:00 <br />Sat: 10:00 to 5:00 <br />Sun: Closed ","Cats, Small Dogs and Large Dogs. Pet rent is $25.00 per month, deposit is $300.00, $100.00 refundable ","From I-40: Country Club Road exit south. Cortland Boulevard east until you reach Country Club Estates. ","Blue_Theme.css",""
69,"62SER","Serramonte Ridge","862 Campus Drive","Daly City","CA","94015","(650)997-0400 ","(650)997-0510","serramonteridge@amcllc.net","serramonteridge.jpg","http://www.serramonteridgeapts.com ","Active","$1250-$1900","Studio 1-2 Bedrooms","Call today to schedule a tour!!","","Rolling hills and inspiring views grace Serramonte Ridge, where your home is your special retreat. Nestled in the hillside above San Francisco Bay, our community offers you a beautiful, relaxing atmosphere with unsurpassed comfort and tranquility to enhance your lifestyle. Serramonte Ridge is just minutes from the Pacific Ocean, conveniently located near highways 280, 101 & 380, 10 minutes from San Francisco International airport and just minutes from nearby shopping and BART. At Serramonte Ridge, we pride ourselves in providing an unparalleled living experience. Call us today at (650) 997-0400 to schedule a tour of our community. ","M-F: 09:00 AM - 06:00 PM<br />Sat: 09:00 AM - 05:00 PM<br />Sun: 09:00 AM - 05:00 PM ","Pet Restrictions: $500 deposit plus $25 monthly pet rent, cats only. ","From 280: Exit Hickey Boulevard. Go west on Hickey and make a right on Campus Drive. Serramonte Ridge will be on your left.","Sage_Theme.css",""
71,"96LWB","Lakefront at West Bay","999 Baseline Drive","Tempe","AZ","85283","(480)838-6111","(480)345-0683","lakefront@amcllc.net","lakefront.jpg","http://www.lakefrontamc.com","Active","$520-$1070","Studio, One ,Two & Three Bedroom Blow Out!!!","$300 Move’s you In ","","Beautiful lakefront living. Minutes from I-60, I-10 and the 101, this convenient location; plus lakefront views, makes Lakefront at West Bay a must see. Relieve daily stress by taking walks around the lake, fishing or feeding the ducks. Lose yourself in the surroundings, then come home to paradise at Lakefront at West Bay. What more could you ask for?","Mon-Fri 9:00 to 6:00 <br />Sat 10:00 to 5:00 <br />Sun 12:00 to 5:00","<p>Breed Restrictions Apply, maximum 60lbs.</p><p>&nbsp;$300 non-refundable pet fee. Monthly pet rent depends on size.</p>","From I-60 exit South on Rural Road. Turn left (East) on Baseline and we will be the second community on the right. Look for the high-rises!","Blue_Theme.css",""
73,"93TDS","Tierra Del Sol","1711 S Extension Road","Mesa","AZ","85210","(480)827-8553","(480)827-1211","tierradelsol@amcllc.net","tierradelsol.jpg","http://www.tierradelsolamc.com","Active","$519 - $639","1-2 Bedrooms","Check Out Our Reduced Rates","","Tierra Del Sol is Mesa&rsquo;s premier apartment community, offering an exceptional living environment in a quiet setting.&nbsp; From the selection of spacious floorplans to the wealth of private recreational amenities, Tierra Del Sol provides residents with a wonderful opportunity to enjoy a relaxed and fun-filled lifestyle.&nbsp;Excellent community shopping facilities are right next door with the Fiesta Mall conveniently close by.&nbsp; Come home to Tierra Del Sol and start enjoying an exciting way of life.","Monday through Friday 9:00am to 6:00pm<br />Saturday and Sunday 10:00am to 5:00pm","1 small dog or 2 cats<br />$20 per month pet rent/ $400 pet deposit with&nbsp;1/2 refundable","Tierra Del Sol is located on Extension Road between Baseline Road and the U. S. 60 freeway.","Blue_Theme.css",""
74,"102LMO","Lakes at Monaco","6165 E Iliff ","Denver","CO","80222","(303)757-1100","(303)757-0540","lakesatmonaco@amcllc.net","lakesatmonaco.jpg","http://www.lakesatmonacoapts.com","Active","$525-$875","1-2 Bedrooms","6 Weeks Free! Give us a Call!","","Discover Lakes at Monaco Pointe apartments, a community surrounded by beautiful trees and ponds. Easy access to downtown, DIA and the DTC. Thoughtfully designed inside and out, our inviting floorplans and beautifully landscaped grounds ensure you of an apartment you&rsquo;ll love coming home to.","Mon-Fri 9:00 to 6:00 <br />Sat 10:00 to 5:00 <br />Sun 12:00 to 5:00","Pets Accepted, $300.00 pet deposit per pet, $150.00 refundable&nbsp; per pet and $15.00/$25.00 pet rent per pet","From I-25, exit Evans Avenue and go east. Turn right onto South Holly Street; then turn left onto East Iliff Avenue.","Sage_Theme.css",""
