"id","propertyCode","currentNews"
252,"99CCA","<p><em><font face=""book antiqua,palatino"" size=""3"" color=""#800000""><strong>We can&#39;t wait to welcome you home to Covina Court!&nbsp; Come celebrate <font color=""#008000"">March Madness</font> with us!</strong></font></em></p><p><em><font face=""book antiqua,palatino"" size=""3"" color=""#800000""><strong>Hurry in now to lease your apartment and enjoy today&#39;s special of only $299 move in o.a.c!</strong></font></em></p><p><strong><em><font face=""Book Antiqua"" size=""3"" color=""#800000"">Rates are reduced for a limited time and these apartments are going FAST!</font></em></strong></p><p><strong><em><font face=""Book Antiqua"" size=""3"" color=""#800000"">480-962-1237</font></em></strong></p><p><strong><em><font face=""Book Antiqua"" size=""3"" color=""#800000"">1821 E Covina St&nbsp;&nbsp; Mesa AZ 85203&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <font size=""1"">2/18/09</font></font></em></strong></p><p>&nbsp;</p>"
295,"98SWT","<strong><font face=""comic sans ms,sand"" size=""7"" color=""#ff00ff"">Gym!!</font></strong>"
272,"122SVS","<p><font face=""comic sans ms,sand"" size=""2""><strong>Spring Clean Up Community Garage Sale</strong></font></p><p><font face=""comic sans ms,sand"" size=""1"">April 25th @ 9:00 am</font></p><p><font face=""comic sans ms,sand"" size=""1"">Come to the office to find out how to reserve a selling space.</font></p><p><font face=""comic sans ms,sand"" size=""1"">Start your Spring Cleaning by getting rid of that unwanted clutter and make some money.</font></p><p><font face=""comic sans ms,sand"" size=""1"">What a great way to get to know your neighbors and celebrate community.</font></p><p><font face=""Comic Sans MS"" size=""1"">Open to the public.</font></p>"
275,"35BPA","<p><strong>$200 off First month rent.</strong></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>"
281,"90WCA","<p><strong><font face=""comic sans ms,sand"" color=""#008000"">LEASE AND MOVE IN BY 04/20/2009 AND $69 MOVES YOU IN!!</font></strong></p>"
283,"702CAM","<strong><font face=""arial black,avant garde"" size=""5"">REDUCED RENTAL RATES!!!</font></strong>"
284,"702CAM","<p><font face=""tahoma,arial,helvetica,sans-serif"" size=""6"">ASK HOW YOU CAN GET FREE RENT...</font></p><p><font face=""Tahoma"" size=""3"">CALL ASHLEE OR APRIL FOR DETAILS.</font></p>"
285,"702CAM","<strong><font face=""impact,chicago"" size=""5"">STOP IN TODAY AND GET A PRIZE!!!</font></strong>"
100,"88WDM","<p>MOVE IN BY&nbsp;02/20 AND WE&#39;LL WAIVE ALL DEPOSITS AND FEES O.A.C.!!&nbsp;SET AND APPOINTMENT AND RECEIVE A FREE GAS CARD!&nbsp; WE&#39;LL PAY FOR YOU TO GET HERE; YOU WON&#39;T WANT TO LEAVE!!!&nbsp; HURRY AND RESERVE YOUR NEW HOME TODAY!</p>"
78,"602STW","<p><font face=""tahoma,arial,helvetica,sans-serif"" color=""#ff0000"">$$$ FREE RENT $$$&nbsp; Move in today and get the rest of March FREE! </font></p><p><font face=""georgia,palatino"" color=""#008000"">Two Bedrooms are finally available for only $799.00, this includes a washer and dryer.</font></p>"
143,"59MED","<p><font face=""trebuchet ms,geneva"" color=""#ff99cc""><font size=""5""><font color=""#333300"">$599 moves you in-Limited time only!</font></font></font></p>"
251,"71JOR","<p><font size=""2"">Lowes prices in West Jordan!</font></p><p><font size=""3"">2 </font><strong><u>Large </u></strong>Bedroom<font size=""3""> 1</font> <u><strong>Full</strong></u> Bathroom</p><p>Starting at<strong><u><font color=""#ff0000""> <font size=""3"">$599.00</font></font></u></strong> per month and your <font size=""3"" color=""#ff0000""><strong><u>2 Months free!</u></strong></font></p><p><font size=""3"" color=""#0000ff"">Call us now!</font></p>"
286,"160MVA","<p><font face=""arial black,avant garde"" size=""6"" color=""#0000ff"">BEST DEAL IN TOWN!!</font></p><p><font face=""Arial Black"" size=""6"" color=""#0000ff"">MOVE IN TODAY FOR</font></p><p><font face=""Arial Black"" size=""6""><font color=""#0000ff"">ONLY $399.00 <font size=""1"">(oac)</font></font></font></p><p><font face=""Arial Black"" size=""6"" color=""#0000ff"">AND </font></p><p><font face=""Arial Black"" size=""6"" color=""#0000ff"">DON&#39;T PAY RENT AGAIN UNTIL JUNE 2009</font></p><p><font face=""Arial Black"" size=""1""></font></p>"
91,"604PKC","<p><font size=""3"" color=""#ff0000""></font></p><p><font size=""3"" color=""#008000"">Ask about our Interior Upgrades Available Now!</font></p><p><font size=""3"" color=""#008000"">-Hardwood Floors throughout</font></p><p><font size=""3"" color=""#008000"">-Upgraded Lighting</font></p><p><font size=""3"" color=""#008000"">-Moen Faucets</font></p>"
92,"28TRA","<p>Come See Our Remodeled Apartments!</p><p>-Two-Tone Paint</p><p>-New Carpet</p><p>-Hardwood Flooring</p><p>Stop by today.&nbsp; You&#39;ll be glad you did!</p>"
94,"39CRW","<p>&nbsp;</p><font face=""Times New Roman"" size=""3""><p style=""margin: 0in 0in 0pt"" class=""MsoNormal"">$399 MOVES YOU IN FOR THE MONTH OF APRIL!!! Buena Vista Apartments offers fully remodeled 2 bedroom apartments for rent at an affordable price. We have 2 bedroom apartments starting at $625. Your apartment overlooks the large playground and 4 acre grass area. It is located in a residential neighborhood.<span>&nbsp; </span>Inside your apartment home you will enjoy an oversized master bedroom and incredible living space! Reserved parking is included and you&#39;ll be close to freeway and public transportation. Your apartment home has air conditioning, internet access, cable or satellite availability, dishwasher, garbage disposal, window coverings and a patio or balcony. Short-term leases are available. Call Rick at (801) 969-2582 or stop in for a quick tour. You won&rsquo;t be disappointed.</p></font>"
253,"169WIS","<p><font face=""georgia,palatino"" size=""2""></font></p><p><font face=""Georgia"" size=""2"">&nbsp; Ask Us About Our Move In Special !! </font></p>"
260,"162TBA","<p><em><font face=""trebuchet ms,geneva"" color=""#000000"">Tierra Bella will be having Resident Appreciation Day on Saturday April 11th from 10am-2pm&nbsp;(the day before Easter). Come enjoy Fun, Food, Prizes, and more!! Local area restaurants will be participating in give-aways and product samples!!</font></em></p><p><em><font face=""Trebuchet MS"" color=""#000000"">Hope to see everyone there ;-)</font></em></p>"
128,"04SCO","<p><strong><font size=""4"">Studio apartments starting as low as $489 a month! One Bedroom as low as $509* only 3 left.</font></strong></p><p><strong><font size=""4""></font></strong></p><strong><font size=""4"">These unbelievable discouts we not last long!</font></strong>"
169,"305TUS","<p style=""margin: 0in 0in 12pt"" class=""MsoNormal""><span style=""font-size: 18pt; font-family: Garamond""><font size=""3"">Tuscany Villas&nbsp;is excited to introduce our newest staff member!<span>&nbsp; </span>Christy M. joins us from a sister property in Sarasota.<span>&nbsp; </span>Her energy and enthusiasm are a welcome addition to our management staff.<span>&nbsp; </span>Christy&rsquo;s promotion to Property Manager at Tuscany brings us&nbsp;creativity and strength of experience that will allow us to continue being a premiere community in the Brandon area.<span>&nbsp; </span></font></span></p><p style=""margin: 0in 0in 12pt"" class=""MsoNormal""><span style=""font-size: 18pt; font-family: Garamond""><span><font size=""3"">Contact the property for information on our fantastic move-in specials!!&nbsp; Two to four weeks FREE prorated AND reduced application and discounted security deposits.&nbsp; </font></span></span></p><p style=""margin: 0in 0in 12pt"" class=""MsoNormal""><span style=""font-size: 18pt; font-family: Garamond""><span><span style=""font-size: 14pt; font-family: Garamond""><font size=""3"">Come find the carefree living you&rsquo;ve earned and the luxury you deserve at a price you don&rsquo;t want to miss!<span>&nbsp;</span></font></span></span></span></p><p style=""margin: 0in 0in 12pt"" class=""MsoNormal""><span style=""font-size: 18pt; font-family: Garamond""><font size=""3""><span><span style=""font-size: 14pt; font-family: Garamond""><span><font size=""3"">Make the&nbsp;Holidays Happy with a new home at Tuscany Villas!</font>&nbsp;</span></span></span></font></span></p>"
172,"304REF","<p><font face=""Tahoma"" size=""2"">Make your Holidays Happy with a new Home!&nbsp; Stop by today!</font></p>"
176,"302GLA","<p><strong><font face=""comic sans ms,sand"" size=""4"" color=""#ff6600"">AS FALL IS HERE AND LEAVES ARE FALLING, FALL INTO YOUR NEW HOME AT THE GLADES.</font></strong></p>"
177,"302GLA","<p><font face=""comic sans ms,sand"" size=""5"" color=""#0000ff""><strong>DON&#39;T FORGET TO ASK US ABOUT OUR FREE RENT!!</strong></font></p>"
188,"49VMV","<p><font face=""arial black,avant garde""><strong>Our move in special is reduced rents on all new move ins look and lease the same day to get this great monthly rental rate!!!</strong></font></p><p><font face=""arial black,avant garde"">Jr.1 bedrooms $525.00</font></p><p><font face=""Arial Black"">1 bedrooms $550.00</font></p><p><font face=""Arial Black"">a bedroom with an alcove $675.00</font></p><p><font face=""Arial Black"">2 bedroom 1 bath $725.00</font></p><p><font face=""Arial Black"">2 bedroom 2 bath $750.00</font></p><p><font face=""Arial Black"">3 bedroom 2 bath $975.00</font></p>"
270,"164TVA","<p>RESIDENT APPRECIATION DAY WILL BE APRIL 11TH 2009</p><p>COME JOIN US FOR FUN,FOOD,PRIZES AND MUCH MORE<font color=""#000000"">!!!!!&nbsp;</font></p>"
90,"72LEV","<p>&nbsp;</p><p>&gt;&gt;&gt; CALL TO FIND OUT MORE ABOUT OUR MOVE IN SPECIALS&lt;&lt;&lt;&nbsp;</p><p>Come See Our New Look!&nbsp; You&#39;ll be glad you did!</p><p>New landscaping, parking lot resurface and fencing.</p><p>&nbsp;Refer your friends and receive $100.</p><p>Si Hablamos Espanol.</p><p>&nbsp;</p>"
97,"19LEM","<p>&nbsp;</p><p>&gt;&gt;&gt;WHERE EVERY DAY IS A HOLIDAY!&nbsp;&nbsp;CALL&nbsp;TO FIND OUT MORE ABOUT OUR DAILY MOVE IN SPECIALS&lt;&lt;&lt;</p><p>Remodeled Apartments Available!</p><p>-Hardwood-like Floors</p><p>-Black Appliances</p><p>-Upgraded Carpet</p>"
105,"65SPD","<p><font face=""andale mono,times"" size=""6"" color=""#993300"">Deposits $99 and FREE Months Rent on One Bedroom Homes!!</font></p><p>&nbsp;</p>"
224,"411FTN","<p>Come join us this Saturday and Sunday between 11am-4pm for our OPEN HOUSE!! We will have AMAZING Specials, Refreshments and you be entered into a drawing to receive a $200.00 Gas card*! Call us today for more details!!</p><p>*Restrictions apply.</p>"
79,"125LHA","<p><font face=""georgia,palatino"" size=""6"" color=""#800000""><strong>April Blowout!!&nbsp; 1/2 Month Free Rent!!!</strong></font></p><p><strong><font face=""Georgia"" size=""2"" color=""#800000"">**Must Move In By 4/15/09</font></strong></p><p><strong><font face=""Georgia"" size=""3"" color=""#800000"">*On select Apartment Homes</font></strong></p>"
116,"102LMO","<p><font face=""georgia,palatino"" size=""6"">6 Weeks Free! 303-757-1100</font></p>"
140,"84REN","<p><font face=""comic sans ms,sand"" size=""5"" color=""#ff0000"">ONE MONTH FREE ON ALL 1BR&#39;S IN MAY!!</font></p>"
150,"127SBK","<p><font face=""impact,chicago"" size=""5"" color=""#cc99ff""><strong>~~1 Bedroom Blowout!!!&nbsp;~~ Hurry don&#39;t wait going fast!!!!</strong></font></p><p><font face=""Impact"" size=""5"" color=""#cc99ff""><strong>1 Bdrms from $450</strong></font></p><p><font face=""Impact"" size=""5"" color=""#cc99ff""><strong>2 Bdrms from $600</strong></font></p>"
268,"155EBA","<p><font face=""georgia,palatino"" size=""5"">$99 move in immediate move in </font></p><p><font face=""Georgia"" size=""5"">$299 move in within 10 days</font></p>"
189,"159BEA","<p><u><font face=""verdana,geneva"" size=""3"" color=""#993300""><em>7&nbsp;REASONS TO LIVE AT BELLA ESTATES:</em></font></u></p><p><font face=""verdana,geneva"" color=""#993300""><em>REASON #1 WE ARE PET FRIENDLY</em></font></p><p><font face=""verdana,geneva"" color=""#993300""><em>REASON #2 NEIGHBORS BECOME FRIENDS</em></font></p><p><em><font color=""#993300"">REASON #3&nbsp;$100 GIFTCARD JUST FOR PAYING YOUR RENT EARLY (1 WINNER PER MONTH)</font></em></p><p><font face=""verdana,geneva"" color=""#993300""><em>REASON #4&nbsp;OUR ONSITE TEAM IS ALWAYS HAPPY TO SEE YOU</em></font></p><p><em><font color=""#993300"">REASON #5&nbsp; PICK YOUR NEIGHBOR $200&nbsp;PAID FOR REFERRALS</font></em></p><p><font face=""verdana,geneva"" color=""#993300""><em>REASON #6 ONE AND TWO BEDROOMS ARE READY FOR YOU TO MOVE IN&nbsp;TODAY!</em></font></p><p><font face=""verdana,geneva"" color=""#993300""><em>REASON #7&nbsp;COME MEET&nbsp;LORRIE, PENEE AND DIEGO&nbsp;IN THE&nbsp;OFFICE, WE ARE&nbsp;ALWAYS FRIENDLY AND AVAILABLE TO HELP YOU WITH ALL YOUR APARTMENT NEEDS!!!</em></font></p><p><em><font size=""4"" color=""#993300""><strong>Choose your Special!</strong></font></em></p><p><strong><em><font size=""4"" color=""#993300"">$199 (oac)&nbsp;to&nbsp;Move-in </font></em></strong></p><p><strong><em><font size=""4"" color=""#993300"">$525 to $599&nbsp;One Bedrooms </font></em></strong></p><p><strong><em><font size=""4"" color=""#993300"">$650 to $699 Two Bedrooms</font></em></strong></p><p><strong><em><font size=""4"" color=""#993300"">OR</font></em></strong></p><p><strong><em><font size=""4"" color=""#993300"">One Bedrooms: Reduced Rental Rates</font></em></strong></p><p><strong><em><font size=""4"" color=""#993300"">&nbsp;$508 (2nd floor) $533 (1st floor)</font></em></strong></p><p><strong><em><font size=""4"" color=""#993300"">Two Bedroom Two Bath: Reduced Rental Rates</font></em></strong></p><p><strong><em><font size=""4"" color=""#993300"">$633 (2nd floor) $643 (1st floor)</font></em></strong></p><p><em><font size=""4"" color=""#993300""></font></em></p><p><em><font size=""4"" color=""#993300""><strong>MOVE IN TODAY!!!</strong></font></em></p><p><em><font size=""4"" color=""#993300""><strong>CALL FOR DETAILS..</strong></font></em></p><p><em><font size=""4"" color=""#993300""><strong>702-458-3866!</strong></font></em></p>"
229,"201LPP","<strong><em><font face=""comic sans ms,sand"" size=""3"">April&nbsp;Special $299.00 move in </font></em></strong>"
230,"201LPP","<strong><font face=""book antiqua,palatino"" size=""7"" color=""#ff00ff"">Reduced Rents!!</font></strong>"
276,"604PKC","<p><strong><font face=""georgia,palatino"" size=""4""><em>Move in Today, and recieve $300 off your move in with a $99 deposit and reduced rent.</em></font></strong></p>"
120,"122SVS","School is in session!&nbsp; Adams Country schools within walking distance...only elementary school&nbsp;in Adams&nbsp;County&nbsp;that offers all day kindergarten."
121,"122SVS","<p>Stop in for warm coffee and fresh cookies daily.&nbsp; The office staff would love to see you!</p>"
122,"122SVS","<p><font face=""comic sans ms,sand"" size=""1"" color=""#993300"">$0 Deposit</font></p><p><font face=""Comic Sans MS"" size=""1"" color=""#993300"">$15 Application Fee</font></p><p><font face=""Comic Sans MS"" size=""1"" color=""#993300"">$250 MOVES YOU IN!</font></p><p><font face=""comic sans ms,sand"" size=""1"" color=""#993300"">Move in TODAY!</font></p>"
123,"122SVS","<p><font face=""impact,chicago"" size=""3"" color=""#333399"">Get Your Rent Paid!</font></p><p>Refer someone you know and you get<strong> <font size=""3"" color=""#333399"">$450</font></strong> off your rent.</p><p><font face=""impact,chicago"" size=""2"">Refer enough people and you could live rent free!</font></p>"
136,"165BER","<p><strong><font size=""5"">&quot;Grand Opening&quot;</font></strong></p><p><strong><font size=""4"">Brand New 2 bedroom apartments</font></strong></p><p><strong><font size=""4"">Move-in now w/&nbsp;2 month free and ask about our &quot;24 hour&quot; special. Call for details 702-260-6766</font></strong></p>"
139,"101HRA","<em><font face=""symbol"" size=""3"" color=""#ff0000"">&nbsp;<font face=""times new roman,times"">Ask us how you can receive a month free rent on our newly styled apartment homes! Mention this add and we will give you an additonal $200 off&nbsp;rent. </font></font></em>"
185,"42EGA","<p>BUCKET&nbsp;PRICING!</p><p>&nbsp;Now&#39;s your chance to get the best floorplans in Las Vegas for a drop in the &quot;bucket&quot;!!&nbsp; Get a 2 BR for&nbsp;a 1 BR price!</p><p>Call and reserve yours NOW!!&nbsp; Don&#39;t Wait!&nbsp;</p>"
153,"01WIL","<p><font size=""5"">Pay tribute to the modern lifestyle at Willow Cove. Come see our upgraded interiors:</font></p><p><font size=""5"">-New Carpet</font></p><p><font size=""5"">-New Flooring</font></p><p><font size=""5"">-Upgraded Countertops</font></p><p><font size=""5"">-New Fixtures</font></p><p><font size=""5""></font></p>"
165,"31OVP","<p><font color=""#0000ff"">Deposit Specials&nbsp; OAC</font></p><p><font color=""#0000ff"">&nbsp;$300 off March!</font></p><p><font color=""#0000ff"">&nbsp;Large Floor Plans</font></p><p><font color=""#0000ff"">Washer/Dryer Hookups</font></p><p><font color=""#0000ff"">Allow Pets</font></p><p>&nbsp;</p>"
167,"97CRY","<p><font face=""comic sans ms,sand"" size=""4"" color=""#333333"">BLOW OUT SPECIALS!!!</font></p><p><font face=""comic sans ms,sand"" size=""4"" color=""#333333"">Please stop by to&nbsp;take advantage of our $299 BLOW OUT move-in&nbsp;special on our great apartment homes. </font></p>"
168,"81WLA","<p>Our Brand New Fitness Center is now open!&nbsp; We also have a new pool that will open in the summer of 2009.</p><p>Utilities are now included: Water, sewer, trash and gas!</p><p>&nbsp;</p>"
173,"601SOV","Great Prices for the perfect apartment. Move-in Specials!"
183,"80RSA","<p><font face=""comic sans ms,sand"" size=""5"" color=""#0000ff"">Come on in for some great spring savings as low as $515</font></p>"
191,"124MCR","<p><em><font size=""5"" color=""#ff0000""><strong>$299.00&nbsp;MOVES YOU IN&nbsp;&nbsp; TODAY!!!&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong></font></em></p><p><em><font size=""5"" color=""#ff0000""><strong>1 bedroom starting at $510</strong></font></em></p><p><em><font size=""5"" color=""#ff0000""><strong>2 bedrooms starting at $635</strong></font></em></p><p><strong><em><font size=""5"" color=""#000080""></font></em></strong></p><p><em><font size=""5"" color=""#333399""></font></em></p>"
195,"46SPA","<p><strong><font face=""comic sans ms,sand"" size=""2"">CHECK OUT OUR SPRING SPECIALS!!!</font></strong></p><p><font size=""3""><strong>LOWEST RENTS EVER!!&nbsp; </strong></font></p><p><font size=""3""><strong>**LIMITED TIME ONLY</strong></font></p>"
200,"204FGA","<p><font face=""book antiqua,palatino"" size=""5"" color=""#ff0000"">&nbsp;<strong><font color=""#00ff00"">Spring Is In the Air.... <font size=""4"">at</font> FALCON GLEN APARTMENTS</font></strong></font></p><p><font size=""3""><font face=""book antiqua,palatino""><font color=""#ff00ff"">$299 Move In*&nbsp; Reduced Rent * Call &nbsp;or stop by to ask how you can take advantage of this fantastic spring special! *<font size=""1"">oac</font></font></font></font></p><p><font face=""Book Antiqua"" size=""4"" color=""#993366"">NOW ACCEPTING DEBIT/CREDIT CARDS!!</font></p>"
201,"203SRD","<p><font face=""book antiqua,palatino"" size=""5"" color=""#ff0000"">Sandal Ridge wants to wish you and your family a safe and Happy Holiday season!</font></p><p><font face=""arial black,avant garde"" size=""3"" color=""#000000"">We have great &quot;New Year&quot; specials!&nbsp; Call and ask how $49 can pay your rent until 2009!!</font></p>"
233,"112MKT","<font size=""3"">Did you know you can turn in service requests on the web?</font>"
234,"112MKT","<p><font size=""4"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; PETS WELCOME!!</font></p><p><font size=""4"">Dogs and Cats / Maximum 2 pet per apartment. Call for details</font></p>"
262,"201LPP","<strong><font size=""6"" color=""#800000"">$200.00 Monthly rent for one bedroom and one bath</font></strong>"
244,"43CC1","<strong><font size=""7"" color=""#ff00ff"">Call about our Great Prices and $299 move in!</font></strong>"
255,"61MBA","<p><em><font size=""2""><strong><u>APRIL SPECIALS</u></strong></font></em></p><p><strong><em><u><font size=""2""></font></u></em></strong></p><p><font size=""5"">$99 Deposit OAC!!!!</font></p><p><em><font size=""2"">CALL 818-896-4824</font></em></p>"
256,"114SUM","<p><font face=""arial,helvetica,sans-serif"" size=""2"" color=""#0000ff"">1 bdrm blow out - $600!&nbsp; 2 bdrm blow out - $730!&nbsp; 3 bdrm blow out $868!&nbsp; Just a few apartment homes left, move in TODAY!</font></p>"
265,"112MKT","<p>$500 off May Rent! Hurry In!!</p>"
273,"131STV","<p><font color=""#0000ff""><font size=""3""><font face=""arial black,avant garde"">Amazing specials and discounted rents!</font>&nbsp;</font></font></p><p><font face=""arial black,avant garde"" size=""3"" color=""#0000ff"">Call or stop in today!</font></p>"
279,"51CHR","<p><font size=""5"">AMC is excited to be managing Christopher Village again!</font></p><p><font size=""5"">Stop by the office.&nbsp; I&#39;d love to meet you!</font></p><p><font size=""5"">Sincerely,</font></p><p><font size=""5"">Kay Blair</font></p><p><font size=""5"">Community Manager</font></p><p><font size=""5""></font></p>"
282,"606WMP","<p>Select Units only $599</p><p>$99 deposit oac.</p>"
288,"45PPA","<p>AWESOME LOW RENTS!!</p><p>APPLY TODAY!!</p><p>1 BDRM 715 SQ.FT. $750 TO $800</p><p>1 BDRM 750 SQ.FT. $750 TO $800</p><p>2 BDRM ONE BATH 900 SQ.FT. $800 TO $850</p><p>2 BDRM TWO BATH 1000 SQ.FT. $900</p><p>3 BDRM TWO BATH 1200 SQ.FT. $999</p><p>7TO 13 MONTH LEASES&nbsp;</p><p>&nbsp;</p>"
