"ID","propertyCode","propertyName","propertyAddress","propertyCity","propertyState","propertyZip","propertyPhone","propertyFax","propertyEmail","propertyImage","propertyURL","propertyStatus","propertyPriceRange","propertyUnitType","propertySpecial","propertyMercial","propertyDescription","propertyHours","propertyPetPolicy","propertyDirections","propertyTheme","validation"
116,"117VIS","Vista at Trappers Glen","11736 W. Chenango Drive","Morrison","CO","80465","(303) 979-1448","(303) 979-6526","vista@amcllc.net","vistaattrappersglen.jpg","http://www.amcapartments.com","Active","$655 - $965","1 y 2 dormitorio","&#161;Inmediato Mueve En la Prima! ","","Nuestra comunidad es anidada en un vecindario residencial callado para su placer y la relajación, y cierra apenas suficiente a la metrópoli emocionante de Morrison. Usted puede gozar las compras, la multa que cena, el excursionismo, biking y otras actividades recreativas con amigos y familia. ","El lunes - el viernes 8:30 a 5:30<br>
El sábado 10:00 a 3:00<br>
El domingo cerrado","¡Los animales favoritos están Bienvenidos! Hasta 2 gatos, limite 1 perro bajo 35 lbs. Las restricciones de la casta aplican. ¡Llame para detalles! ","De yo-25: Tome C-470 al oeste. Salga el derecho (al este) en W. Lanza Avda., a S. S. de Simms. Gire a la izquierda (al norte) va pasado W. Belleview Avda., a W. Chenango. Gire a la izquierda (al oeste) en W. Chenango a la entrada de la propiedad. ","Blue_Theme.css",""
26,"07LVA","Legacy Village","6256 S Gold Medal Drive (Bangerter Hwy)","Taylorsville","UT","84084","(801)327-8300","(801)327-8313","leasing@legacyvillageapartments.com","legacyvillage.gif","http://www.legacyvillageapartments.com","active","$645-$750","1-2 Dormitorios","Deposit: $300.00 and $150.00 refundable","","¡Descubra vivir de mayor en lo es el lo mejor! La Aldea del legado es diseñada para los que quieren el estilo y el sentido de la comunidad todo en un precio económico. Nuestra comunidad está disponible a mayores 62 y más viejo. Nuestro personal amistoso y profesional le estropeará con bondad y asegurará que usted reciba el mejor servicio disponible. ¡Reserve su nuevo hogar en la Aldea del Legado hoy! ","¡Llame por la Cita hoy! ","<p>Los animales favoritos Dan la bienvenida. (las restricciones del tamaño aplican)</p><p>El depósito: $500,00 y $400,00 reembolsable </p>","Localizado en el rincón del sudeste de 6200 Sur y Carretera de Bangerter","Blue_Theme.css",""
27,"99CIT","Citifront","641 West North Temple","Salt Lake City","Utah","84116","(801)359-5541","(801)359-5540","leasing@citifront.com","","http://www.citifront.com","Inactive","$595-$817","1-3 Dormitorios","","","Los Apartamentos de Citifront que introducen. ..a nuevo concepto en vivir urbano donde usted puede trabajar, poder vivir y poder jugar. Localizado en el corazón de Ciudad de Salt Lake, usted gozará las compras, cenar, y el entretenimiento dentro de la distancia caminante a la Puerta. Nuestro completamente nuevo uno, el remolque y tres apartamentos de dormitorio tienen todos los servicios y las conveniencias que usted siempre ha querido en un precio económico. ¡Llame hoy y concierte un cita para ver Citifront Apartamentos! ","¡Llame por una cita! ","Ningunos Animales Favoritos","De yo-15, toman la 600 salida del Sur. Vaya a 300 al oeste, la vuelta dejó y dirige al Templo del norte. La vuelta dejó y diríjase al Oeste. Somos apenas adelante en su izquierda. ","Tan_Theme.css",""
100,"109WIN","Windsor Court","1090 South Parker Rd.","Denver","CO","80231","(303)321-2521","(303)322-2294","windsorcourt@amcllc.net","windsorcourt.jpg","http://www.windsorcourtapts.com","Active","$449-$709","El estudio 1-2 Dormitorios","&#161;Primero mes Liberta! &#161;Ninguna cuota! ","","La calma, el Tribunal cómodo de Windsor. Un parklike que pone. estilo de vida de país ..a completa con toda la conveniencia de la ciudad cerca. Pasee oteros pasados, verdes y cubiertos de hierba y se relaja bajo la sombra de árboles nativos altos. Goce la vista del motivo profesionalmente ajardinado y la reflejo que chispean del brillando charca. Cualquier usted quiere hacer - es nunca demasiado lejos del Tribunal de Windsor- el mejor en el contemporáneo, vivir conveniente de apartamento. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 5:00<br>
El domingo 12:00 p 5:00 p</p>","<p>Gatos/pequeño perro 50 libras o abajo, las restricciones de la casta aplican. $250 Depósito, 1/2 Reembolsable. $20 Por mes para el Alquiler de Animal Favorito.</p>","<p>De Colorado Blvd, vaya al este en Alameda, se vira inmediatamente el derecho en Leetsdale. Vaya Quebec pasado, y el Tribunal de Windsor estará en su izquierda.</p>","Sage_Theme.css",""
29,"16CPA","Cambridge Park","9200 Monte Vista Ave.","Montclair","CA","91763","(909)626-3511","(909)626-6251","leasing@cambridgeparkapts.com","cambridgepark.jpg","http://www.cambridgeparkapts.com/","Active","$1380-$1695","2-3 Townhomes","$200 mueven lejos en en 2 dormitorios","","¡NUEVAMENTE RESTAURO TOWNHOMES DENTRO DE Y FUERA! Imagínese que nadie vive encima de usted o debajo de usted. Después de que un gran viaje de compras al otro lado de la calle en Plaza de Montclair, vuelva en casa para una depresión que refresca en la piscina. Con ajardinar exuberante de flores y árboles elegantes de sombra, usted sabrá que usted ha hecho la decisión correcta hacer Cambridge Estaciona su nuevo hogar. Todo conveniente. los restaurantes ..schools,, las autopistas y el entretenimiento. ¿Qué más puede una necesidad de persona? ¡Nosotros lo tenemos todo! Ahora Aceptar Todas Tarjetas de crédito Mayores. ","9:00 De L-V a 6:00 Sat-Sol Cerró","La llamada para acaricia la política. ","Salga yo-10 en Vista de Bosque y vaya al norte. Somos apenas adelante a la izquierda. ","Tan_Theme.css",""
32,"14VEN","Venetian Bridges","2244 Rosemarie Lane","Stockton","CA","95207","209-957-1356","209-957-3538","venetianbridges@amcllc.net","venetianbridges.jpg","http://www.venetianbridges.com","Inactive","$650-$1415","1-2 Bedrooms Townhouses","","","Premier Location!
One and two bedroom apartments, villas and townhomes. Garages available with select homes. ","M - F 9 -5<br>
Sat 10 - 2<br>
Sun Closed
","Cats and Dogs Welcome
$400 Pet Deposit plus $25.00 per month
Please call for details.","","Tan_Theme.css",""
31,"25DFT","Driftwood Park","3945 S 700 W","Murray","UT","84123","801-264-8397","801-685-7357","driftwood@amcllc.net","driftwoodPark.jpg","http://www.driftwoodparkapts.com","active","$687 - $992","1-3 Dormitorios &amp; Townhomes","&#161;Permita que Eeuu Le Muestren Alrededor! &#161;Usted no Ser&#225; Desilusionado! ","","El Parque de madera flotante ofrece uno, dos y tres dormitorio uno de un foorplans amable, con el espacio extremo del armario, paredes de acento, conexiones de arandela/secador, ropas locales cuidan el centro, cubrió estacionamiento, patios privados, la piscina y una fortaleza cercada de campo de juegos. ¡Apenas 2 bloques de Trax! Hablamos Espanol. Pare por hoy. ¡Usted estará contento que usted hizo! ","El lunes - el viernes 9:00 a 5:00<br>
El sábado por la cita
El domingo cerrado","¡Los animales favoritos aceptaron y ADORARON! Hasta 2 animales favoritos (perro agresivo cría restringido). $400 depósito del animal favorito, $30 por el alquiler de animal favorito de mes (por animal favorito). ","De yo-15, la salida en 3300 al sur, gira al oeste. Siga a 500 al oeste, la vuelta dejó (al sur). Vaya a 3900 Sur y gire a la derecha (al oeste). Siga a 700 al oeste, la vuelta dejó. Nuestra entrada es apenas adelante en su izquierda. ","Tan_Theme.css",""
34,"39FAL","The Falls at Quail Lake","890 Quail Lake Circle","Colorado Springs","CO","80906","(719)576-5940","(719)576-8463","thefallsamc@msn.com","thefalls.jpg","","Inactive","$695-$995","1-3 Bedrooms","","","Searching fo that special place we call home is not always easy. We feature on of the largest 1, 2, &amp; 3 bedroom floorplans in the area with walking distance to a fishing lake. Conveniently located near upscale dining and shopping, 5 minutes to Fort Carson, 15 minutes to downtown. You can be assured that our new management staff will listen to your needs and create that sence of community you&#8217;ve been looking for.","","Call for Policy","Take Highway I-15 south to Cheyenne Mountain Boulevard. Travel east to Quail Lake Circle and take a right. We are located 1/2 mile up on the right. ","Tan_Theme.css",""
35,"33MCA","Millcreek","7940 South 700 West","Midvale","UT","84047","801569-8575","801569-8579","midtownvillas@amcllc.net","millcreek.jpg","http://www.midtownvillas.com","Active","$745-$765","2 Dormitorios","","","<p>Encuentre su nuevo hogar en Casas de campo de CENTRO DE CIUDAD en Midvale histórico. Usted gozará floorplans espacioso en un valor excepcional. Nosotros también nuevamente hemos modelado de nuevo las unidades disponibles.  </p><p> </p><p>¡Somos apenas minutos de yo-15 y centralmente localizados cierra a compras, los restaurantes, las escuelas y más! ¡Entre hoy y haga Millcreek su nuevo hogar!</p>","El lunes - el viernes 10:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","<p>Arrepentido, ningunos animales favoritos.</p>","De yo-15, la salida en 7200 al sur; diríjase al oeste hasta 700 al oeste, y la vuelta dejó. Dirija al sur a 7800 al sur. Gire a la izquierda en 700 al oeste; gire a la derecha. Somos un bloque a la derecha. ","Tan_Theme.css",""
36,"55DCA","Deer Creek","358 Gateway Drive","Providence","UT","84332","435-227-0500 ","435-227-0600","deercreek@amcllc.net","deercreek.jpg","http://www.deercreekapts.com","Active","","2-3 Dormitorios","&#161;Contacte para actual especial! ","","Localizado en la Providencia escénica, Utah, Apartamentos de Aldea de Riachuelo de Venado ofrecen las vistas pintorescas así como una proximidad cercana a una variedad de oportunidades recreativas. Situado apenas sudeste de la Ciudad de Logan es una distancia conveniente a la Universidad Pública de Utah. La Aldea del Riachuelo del venado ofrece una serie ancha de servicios cercanos para el estilo de vida activo, inclusive cenar de multa, las películas, las compras, andando y sendero de biking, jugando golf en el Río de Logan, y depositar. 

Venga y goce la experiencia de la Aldea de Riachuelo de Venado. 

","L - Cerró martes Sat 9:00 a 6:00 Sol - Cerró","Los gatos sólo. Acaricie el depósito de $600,00 debe ser pagado antes mueve-en. $400 son no reembolsables","Las direcciones que vienen al norte en Carretera 89: 

Gire a la derecha cuando dirigido a girar a la Providencia (esto sucede antes usted entra en Logan), continúa para aproximadamente media una milla entonces va directamente por la luz. Gire a la izquierda en Rd de Riachuelo de Primavera. (Dejó directamente después del BANCO DE el signo de UTAH). Gire a la izquierda en Rd de Campo de golf. entonces Correcto en la Puerta Maneja. Los Apartamentos de la Aldea del Riachuelo del venado estarán en su derecho. 

","Tan_Theme.css",""
37,"38FVA","Fountain View","2614 E. Fountain View","Colorado Springs","CO","80910","1(719)473-6237","1(719)473-6351","fountainview@amcllc.net","fountainview.jpg","http://www.forrent.com/search/detail.asp?site=1015489","Inactive","$490-$775","1-3 Bedrooms","$99 Deposit","","This attractive renovated apartment community offers easy access to major throughfares, shopping, restaurants, and major employers. Our friendly staff is working hard to see that this comfortable &amp; affordable community will be your next home. Call for your tour today.","","No Pets.","Martin Luther King Bypass to Union Blvd. Union North to Fountain. East on Fountain.
","Tan_Theme.css",""
48,"46SPA","Sahara Palms","2900 El Camino Ave","Las Vegas","NV","89102","(702)873-6887","(702)873-3357","saharapalms@amcllc.net","saharapalms.jpg","http://www.saharapalmsapts.com/","Active","$660-$1300","1-3 Dormitorios","","","Somos una comunidad callada encantadora anidada en el corazón de la ciudad. Ofrecemos uno, dos y tres hogares de apartamento de dormitorios que empiezan de $695,00. ¡La llamada o MANDA CORREO ELECTRONICO nuestro personal amistoso averiguar nuestro Actual Especial!!! (702-873-6887)","El lunes - el viernes 9:00 a 6:00<br>
El sábado 9:00 a 5:00<br>
El domingo 10:00am to 5:00pm","Críe las Restricciones","De yo-15 salida del sur Sáhara al oeste a Richfield y gira a la derecha, correcto en El Camino. Estamos a la izquierda. ","Blue_Theme.css",""
38,"32WPA","West Pointe","2184 W 3100 S","West Valley City","UT","84119","(801) 972-4982","(801) 972-4986","westpointe@amcllc.net","westpointe.jpg","http://www.westpointeapts.com","Active","$555-$662","1-2 Dormitorios","Deposite $149,00 oac. ","","En Pointe Occidental que hacemos encontrando su nuevo hogar sencillo. Goce nuestra ubicación conveniente entretenimiento cercano, haciendo de compras y para cenar. Su nunca distante de dondequiera con acceso fácil a yo-215. Nuestros precios económicos y los planos cómodos le esperan. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado El domingo cerrado
","Los animales favoritos hasta 65 libras. $300,00 depósito del animal favorito y $25,00 mensualmente. Críe las restricciones. ","De yo-215, salen en 3500 al sur. Dirija al este a 2200 al oeste. Gire a la izquierda. Dirija al norte a 3100 al sur. Gire a la derecha. Siga a nuestra entrada en su izquierda. ","Tan_Theme.css",""
39,"42EGA","Eastgate","3055 S Nellis Blvd","Las Vegas","NV","89121","(702)431-1035","(702)431-4300","eastgate@amcllc.net","eastgate.jpg","http://www.eastgatevegas.com","Active","$779 - $979","1-2 Dormitorios","$399 Mueven En Especial O. UN. C. &#161;!!! ","","Localizado cerca de las compras, las autopistas, el base aérea, el autobús forra y los casinos. ¡La comunidad atmósfera amistosa! Series Magistrales dobles disponibles. ¡Llame ahora para descuentos militares! ","El lunes - el viernes 9:00 a 5:00<br>
El sábado 9:00 a 5:00<br>
El domingo 9:00 to 5:00 ","Llame para la Política","Estamos en la zona del oeste de Bulevar de Nellis entre Posada de Valle y Desierto de Vegas. ","Sage_Theme.css",""
112,"52HHA","Holladay Hills","3690 S. Highland Drive","Salt Lake City","UT","84016","(801) 277-9963","(801) 277-0891","holladayhills@amcllc.net","holladayhills.jpg","http://www.holladayhillsapts.com","Active","$635 $775","2-3 Dormitorios","","","RELAJEse EN EL LUJO DE UN ARBOLADO, COMO-PONIENDO de PARQUE conveniente a compras, las escuelas y una variedad de restaurantes fantásticos. Nuestros apartamentos hermosos son Holladay mejor valor y la ubicación. ¡Háganos su hogar hoy y goce vivir en un gran vecindario en un precio económico! ¡Hablamos español, italiano, y Más!</p><p>Somos la secciones de Crédito Tributario 42 restricción de Ingresos","El lunes - el viernes 9:00 to 6:00","Ningunos Animales Favoritos","De yo-15 con rumbo al sur, sale en 3300 al sur. Dirija el este de las tierras altas Maneja; gire a la derecha. Siga a 3714 al sur, nuestra entrada está a la derecha. ","Blue_Theme.css",""
113,"115LPA","Lexington Park","14052 East Iowa Dr.","Aurora","Co","80012","(303) 671-7700","(303) 755-4799","lexingtonpark@amcllc.net","lexingtonPark.jpg","http://www.amcapartments.com","Active","$540- $720","","&#161;Pregunte por nuestro mueve en especial!! ","","","<El lunes - el viernes 9:00 a 6:00<br>
El sábado 9:00 a 5:00<br>
El domingo 12-4</p>","somos un animal favorito la comunidad amistosa","","Sage_Theme.css",""
40,"50CAN","Canyon Cove","1455 Valley Drive ","Ogden","UT","84401","(801)621-1521","(801)621-1553","canyoncove@amcllc.net","canyoncove.jpg","http://www.canyoncoveapts.com","Inactive","$450-$530","1-2 Bedrooms","","","Imagine living in a resort lifestyle with spectacular mountain views! Swim in our lavish pool, play tennis or basketball. How about a round of golf right out your front door! The good life is waiting for you at Canyon Cove. At Canyon Cove, you&#8217;ll live in a natural, wooded country setting. A quiet, private world in a secluded cove, yet close to everything important to your busy lifestyle. Canyon Cove offers luxurious one and two bedroom apartment homes, with all the amenities. A professional management staff insures your high quality leisure living. It&#8217;s a vacation that never has to end, and its all waiting for you at Canyon Cove.","Mon-Fri  8:00 to 5:00<br>
Saturday  11:00 to 3:00 
","Weight Restriction - 50 lbs.","From I-15, exit #347 onto 12th St. Turn east onto 12th St., continue to Harrison Blvd. At Harrison, turn right heading south to 20th St. At 20th St. turn left and then make another immediate left. Follow road past golf course; we are on your right. ","Tan_Theme.css",""
41,"44SCA","St. Charleston/Torrey Pines","6501 W. Charleston","Las Vegas","NV","89146","(702)878-6039","(702)870-0382 ","stcharleston@amcllc.net","stcharleston.jpg","http://www.stcharlestonandtorreypinesvillageapts.com/","Inactive","$613-$997","1-3 Bedrooms","","","Welcome to St. Charleston/Torrey Pines Village! We are very spacious one, two and three bedroom apartment homes which are filled with features that you will appreciate in a community you will be proud to call home. Call our on-site management team today!","Monday - Friday<br>
10:00 AM - 7:00 PM<br>
Saturday<br>
9:00 AM - 5:00 PM<br>
Sunday Noon - 6:00 PM
","Pet Policy: Small pets up to 25 lbs. full grown. $150 Non-Refundable Pet Fee per pet. $50 Security Deposit per pet. $20 Pet Rent, per month, per pet.","Take US95 to Rainbow South to Charleston and turn Left. We&#8217;re on the Right.","Tan_Theme.css",""
42,"29CLA","Candlestick Lane","80 East 7800 South","Salt Lake City","UT","84047","(801)561-0204","(801)568-7007","candlesticklane@amcllc.net","candlesticklane.jpg","http://www.candlestickapts.com","Active","$659-$919","1-2 Dormitorios","","","Un GRAN LUGAR para LLAMAR EN CASA. El estilo extraordinario, bien pensó-fuera y abre floorplans y un personal profesional dedicado aumenta su experiencia viva en Senda de Candelero. Las compras y las escuelas están cerca y tenemos muchos servicios tranquilos para su placer. ¡Cuándo usted busca un gran valor y un apartamento de la calidad... vuelve a casa a la Senda del Candelero! ","El lunes - el viernes 8:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado
","Los animales favoritos Aceptaron","De la Calle del Estado, prenda al este 7800 al sur. Siga centro comercial pasado a nuestra entrada en su derecho. ","Blue_Theme.css",""
43,"35BPA","Brookwood Park","3854 Rockwood Way ","West Valley City","UT","84120","(801)966-1486","(801)966-5459","brookwoodpark@amcllc.net","brookwoodpark.gif","http://www.brookwoodparkapts.com","Active","$699","2 Dormitorio 1 Ba&#241;o","&#161;Viaje Hoy! &#161;Usted no Ser&#225; Desilusionado! ","","En el Parque de Brookwood, nosotros hemos hecho arrendando su hogar sencillo. ¡Vaya hoy en línea en ApartmentGuide com y tome una visita virtual; entonces ve nuestro E-mercial para ver vivir cuán gran en el Parque de Brookwood es! ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","Damos la bienvenida sus animales favoritos hasta 30 libras con apenas un $300 animal favorito deposita y apenas $25 por mes. ","De yo-215, toman el 3500 salen S. Vaya al oeste a 4000 W. Gire a la derecha. Gire a la derecha en la Manera de Rockwood (3390 al sur). Nuestra entrada está a mano izquierda. ","Tan_Theme.css",""
44,"36VFA","Villa Franche","3440 South 500 East	","Salt Lake City","UT","84106","(801)467-2023","(801)467-0477","villafranche@amcllc.net","villafranche.jpg","http://www.villafrancheapts.com","Active","750.00 - 850.00","2 Bedrooms","$400.00 Dormitorios (OAC)","","¡Bienvenido a una comunidad tibia y amable que proporciona una gran residencia y la tranquilidad! Anidado en una colocación de parque-como, nuestra comunidad es todo cercano, mas se siente como lo está apagado el sendero golpeado. La paz de la experiencia y la calma y una atmósfera amistosa de vecindario. ¡Llene nuestra aplicación en www.amcapartments.com! ¡Reciba su confirmación de mueve-en dentro de seis a doce horas de oficina! ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","<p>Acaricie Amistoso $300,00 Depósito 1/2 Reembolsable</p><p>$35,00 Por el Alquiler de Animal Favorito de Mes</p>","De yo-15, salen en 3300 al sur. Dirija al este a 500 al este; gire a la derecha. Siga a nuestra comunidad, apenas adelante en su derecho. ","Tan_Theme.css",""
45,"45PPA","Palms at Peccole Ranch","9599 West Charleston Blvd","Las Vegas","NV","89117","(702)233-0677","(702)233-0676","palmsatpeccole@amcllc.net","palmsatpeccole.jpg","http://www.palmsatpeccoleranch.com","Active","$885-$1195","1-3  Dormitorios","","","We offer a perfect passage from the rigors of everyday life to a serene lifestyle you’ll be happy to call home. Meandering walkways deliver you into an environment of mature landscaping featuring lush greenbelts and private tranquil courtyards.","El lunes - el viernes 8:30 a 6:00<br>
El sábado 9:00 a 5:00<br>
El domingo 10:00 to 4:00","25 límite de la lb $300 animal favorito fee/$30 por el alquiler de mes","Charleston Blvd occidental. un poco más allá de P Avenida Apache u Occidental de Summerlin. Dejó en Charleston. ","Tan_Theme.css",""
46,"40EC1","Eagle Crest","5850 Sky Pointe Drive","Las Vegas","NV","89130","(702)655-5900","(702)655-1089","eaglecrest@amcllc.net","eaglecrest.jpg","http://www.eaglecrestvegas.com","Active","$730-$1135","1-3 Dormitorios","","","Localizado en NO Las Vegas, Nevada, Cresta de Aguila es más que un lugar para vivir, ser un lugar para llamar en casa. Tenemos un personal profesional dedicado, para darle pedazo de la mente con nuestra 24 hora en el equipo de la conservación de la llamada. Los planos, la arandela y los secadores espaciosos grandes, chispeando piscinas, la sauna, el baloncesto y los campos de tenis, más un últimos adelanto 24 centro deportivo de hora, Cresta de Aguila tiene algo convenir everyones las necesidades. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado El domingo 9:00 a 6:00<br>
El domingo cerrado
24 Servicio del Mensaje de la Hora después de que Horas Dejen caer Información de Servicio de Fax de Caja","1 máximo del animal favorito, 25 límite de l., $300/$150 reembolsable. ","Tome EEUU-95 al norte al Rd de Ann. la salida correcta, la vuelta dejó en Tenaya y continúa directamente en Cielo Pointe que Dr. Comunidad es localizada a la derecha. ","Tan_Theme.css",""
47,"28CON","Conquistador","3349 S 1300 E","Salt Lake City","UT","84106","(801)466-7600","(801)466-6155","conquistador@amcllc.net","conquistador.jpg","http://www.amcapartments.com","Inactive","$475-$625","1-2 Bedrooms","$250 Moves you in!","","THE LIFESTYLE YOU ARE LOOKING FOR, THE PRICE YOU&#8217;LL LOVE. At Conquistador Apartments, you will discover a peaceful neighborhood community designed with all the comforts and conveniences you expect. Enjoy a location that is convenient to shopping, freeways and employers.","Tue-Fri  9:00 to 6:00<br>
Saturday  10:00 to 4:00 
   ","No Pets. ","From I-15, exit at 3300 South. Head east to 1300 East; turn right. Follow to our community, just ahead on your left. ","Tan_Theme.css",""
49,"11GGR","Green Grove","170 S Pleasant Grove Blvd","Pleasant Grove","UT","84062","(801)769-7000","(801)769-7003","greengrove@amcllc.net","greengrove.jpg","http://www.greengroveapartments.com","active","$726-$846","2-3 Dormitorios","","","Dé la bienvenida en casa a Hogares Verdes de Apartamento de Arboleda, Arboleda Agradable más nueva comunidad de apartamento. Si usted busca la vivienda razonable (las restricciones de ingresos aplican) eso es cómodo y conviently localizó la mirada no aún más. La Arboleda verde personifica todos los consuelos de vivir de lujo mas localizado en una colocación callada del país. Cada característica de la calidad y el servicio fueron diseñados con su consuelo principal en la mente. ¡Venga la experiencia un estilo de vida superior en Apartamentos Verdes de Arboleda hoy! ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 3:00<br>
El domingo cerrado","Ningunos ANIMALES FAVORITOS PERMITIERON","Yo-15 toman la salida #275 (la Salida Agradable de Arboleda/Lindon) y diríjase al Este. Contiue al este hacia Arboleda Agradable y nosotros somos localizados directamente al oeste de Maceys. ","Blue_Theme.css",""
50,"70MTN","Mountain Shadows","3825 South 700 West","Salt Lake City","UT","84119","(801)263-0777","(801)264-8272","mountainshadows@amcllc.net","mountainshadows.jpg","http://www.mountainshadowsapts.com","Active","640-950","1-3 Dormitorios","&#161;$300 Del Alquiler de enero, el Dep&#243;sito Reducido! ","","¡Consiga el servicio que usted merece en Sombras de Montaña! Tenemos espacioso 1, 2 y 3 planos de dormitorio para escoger de. ¡Traiga su animal favorito con usted porque Sombras de Montaña son un animal favorito la comunidad amistosa! En Sombras de Montaña, usted gozará una serie de servicios, dentro de y fuera. Y mejor de todo, usted tendrá la tranquilidad que viene de vivir en una comunidad de AMC. ","El lunes-el viernes: 9:00 a 6:00<br />El sábado: 10:00 a 4:00<br />El domingo: Cerrado","Críe la Restricción. ","De yo-15 salida en 3300 al sur. Diríjase al oeste a 700 al oeste, la vuelta dejó. Nuestra entrada es adelante acerca de 2 bloques en su izquierda. ","Tan_Theme.css",""
51,"61MBA","Mountainback","11777 Foothill Blvd","Lake View Terrace","CA","91342","(818)896-4824","(818)899-7344","mountainback@amcllc.net","mountainback.jpg","http://www.mountainbackapts.com","Active","$1,183-$1,620","1-2 Dormitorios","$300 Lejos primer Meses alquilan","","<p>Experimente el lujo de preocupación liberta de una comunidad repleta de apartamento de servicio diseñada para su conveniencia en los estribaciones pacíficos del San Valle de Fernando. 3 Campeonato campos de golf de 18 hoyos están cerca. Mountainback es más que apenas un lugar de vivir. . ¡. Está EN CASA!</p><p> </p><p> </p>","9 son - 6 p.m. L - se Sentó<br />10 son - 5 p.m. el domingo","¡Acaricie Amistoso - la llamada para detalles! ","El acceso fácil del 5, 405, 118 y 210 Autopistas. ","Tan_Theme.css",""
53,"56LOG","Logan Landing","1767 N 500 W","Logan ","UT","84341","(435)753-0254","(435)753-7037","loganlanding@amcllc.net","loganlanding.gif","http://www.loganlandingapts.com","Active","$700.00 - $800.00","2-3 Dormitorios","","","La piscina que chispea y el jacuzzi, 24 espacio de la salud de hora con la televisión, el club disponible para funciones de comunidad y residente, en la administración del sitio y 24 personal de la conservación de la emergencia de hora, el motivo hermosamente ajardinado, asignado cubrió estacionamiento y abre secundario y estacionamiento de huésped. Ofrecemos un ambiente para no fumadores no sólo en nuestros hogares de pueblo pero también en el motivo circundante. Somos localizados convenientemente a compras y restaurantes mayores y al hospital local y muchos centros médicos. ","Martes - V: 10:00 es - 6:00 p.m.<br>
Sentado: 11:00 es - 5:00 p.m.<br>
El domingo cerrados y el lunes","En este momento nosotros no aceptamos animales favoritos. Hacemos los alojamientos para personas con incapacidades","La calle mayor al norte a 1800 vuelta del norte dejó en 500 al oeste vuelta dejó en la propiedad que nuestra
club/oficina es localizada en su derecho. ","Tan_Theme.css",""
54,"74LSA","City Park","780 N 900 W","Salt Lake City","UT","84116","(801)531-2525","(801)531-2520","citypark@amcllc.net","lexingtonsquare.jpg","http://www.lexingtonsquareapts.com","Active","500.00 to 690.00","1-2 Dormitorios","300,00 de 1 dormitorios","","PARA la CALMA, VIVIR COMODO EN PRECIOS SINCERAMENTE ECONOMICOS, la CIUDAD de la MARCA ESTACIONA SU NUEVO HOGAR. Ofrecemos floorplans extraordinario espacioso en una ubicación preferida de Ciudad de Salt Lake, apenas minutos al Aeropuerto de SLC y el centro SLC. Goce el acceso fácil a yo-15 y la Autopista 215. Pare por hoy y permitió nuestra ayuda amistosa del personal usted escoge su nuevo hogar. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado
","los perros & gatos bajo el depósito 30lbs 250,00 $25 alquiler de animal favorito","De yo-15 salida 600 Norte y gira al oeste. Avance a 900 al oeste y la vuelta al norte. Búsquenos a la derecha. ","Tan_Theme.css",""
52,"60HTA","Hillside Terrace","3262 College Place","Lemon Grove","CA","91945","(619)698-2000","(619)698-5662","hillside@amcllc.net","hillsideterrace.jpg","http://www.hillsideterraceapts.com","Active","$1010-$1360","1-2 Dormitorios","","","Welcome home to gracious living at Hillside Terrace. We offer four thoughtfully designed floor plans, all beautifully appointed. You’ll find our floor plans among the most spacious offered today, ranging from a one-bedroom with 616 square feet to a two-bedroom, two-bath plan with 934 square feet. Relax in a lushly landscaped community built around a pool and spa. Enjoy spacious laundry facilities in the comomon areas too. Hillside Terrace is just steps from neighborhood shopping at regional shopping centers. It’s an easy commute to all employment centers and major militiary bases and convenient to public transportation. Hillside Terrace is more than a place to live. It’s Home. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 9:00 a 5:00<br>
El domingo 10:am - 5:00pm ","Los gatos aceptaron. Acaricie el Depósito requerido","","Tan_Theme.css",""
